date,STORE_NUM,logVol,logFL
2009-04-01,367,0,1.0612565021243408
2009-04-01,389,3.6041382256588457,1.1206799225951416
2009-04-01,613,3.9488369785508626,0.9887974226609032
2009-04-01,623,3.380143972464323,0.9978746408120199
2009-04-01,2277,4.085976312551584,1.1799728089637227
2009-04-01,2279,3.295836866004329,1.166617017782167
2009-04-01,2281,3.9679306373664422,1.1876704269799996
2009-04-01,2495,3.5409593240373143,1.0348850325689487
2009-04-01,2505,3.188416617383492,1.0560706032683278
2009-04-01,2513,4.783316371371566,0.9965007895606333
2009-04-01,2523,2.224623551524334,0.9902442519463281
2009-04-01,2541,2.68273239311792,0.9376005184609062
2009-04-01,4245,3.188416617383492,1.2050443949160525
2009-04-01,4259,1.2878542883066382,1.1596965749375934
2009-04-01,4489,4.005057871395335,0.9847622829870002
2009-04-01,4503,3.8313551023606913,1.0127532408402509
2009-04-01,4521,2.59338729278207,1.0914841399343274
2009-04-01,6179,3.8815637979434374,1.2050443949160525
2009-04-01,6187,2.9639835752394106,1.188315380243246
2009-04-01,6379,4.34866373100476,0.982459587268454
2009-04-01,6431,2.4203681286504293,0.9768212316141874
2009-04-01,8041,2.70805020110221,1.2435780589182956
2009-04-01,8263,3.8122026701459353,1.0513237589121087
2009-04-01,9825,4.081765780015241,1.169145464135526
2009-04-01,10019,1.0986122886681098,0.9122827104766161
2009-04-01,11757,3.1023420086122493,1.0944087094412414
2009-04-01,11761,3.7346889901452305,1.2778112305605376
2009-04-01,11967,2.833213344056216,0.9122827104766161
2009-04-01,11993,4.584967478670572,1.0001440662679506
2009-04-01,12011,3.140914283398489,0.9902442519463281
2009-04-01,13609,3.2188758248682006,1.2763678817412862
2009-04-01,13827,3.2188758248682006,0.9122827104766164
2009-04-01,13837,3.457892725338701,0.9807505097540771
2009-04-01,13853,2.9575110607337933,0.950503923296814
2009-04-01,13859,3.0143086591269266,1.0334682672788393
2009-04-01,15531,2.224623551524334,1.1392180435940527
2009-04-01,15541,3.001962823304627,1.1503361321780294
2009-04-01,15547,2.917770732084279,1.2789799859692113
2009-04-01,15755,1.0986122886681098,0.9122827104766161
2009-04-01,15763,3.380143972464323,0.9978746408120196
2009-04-01,15765,3.3187211598379167,1.0275487551238456
2009-04-01,17599,1.890850371872286,0.9673424876596436
2009-04-01,17615,3.4380113547848716,0.9707789171582248
2009-04-01,17627,3.9631912920025454,1.0266288623797901
2009-04-01,19265,3.068052935133617,1.2513001050122057
2009-04-01,19521,3.7287009483006077,0.9902442519463281
2009-04-01,19523,1.6582280766035324,1.045814103101139
2009-04-01,19533,3.446011397451948,0.9926318376408296
2009-04-01,21213,2.327277705584417,1.1318740693382943
2009-04-01,21221,2.4423470353692043,1.1838588242166732
2009-04-01,21227,3.8738017926079484,1.1577466230685145
2009-04-01,21237,3.1832486472250494,1.2453036848857653
2009-04-01,21479,2.1400661634962708,1.0748016399743912
2009-04-01,21485,2.7647455447787554,0.9807505097540771
2009-04-01,23055,1.5314763709643886,1.1392180435940527
2009-04-01,23061,3.0081547935525483,1.2311555389197384
2009-04-01,23067,3.107944264160919,1.1721880628316224
2009-04-01,23075,3.3232358401924436,1.2345282233983774
2009-04-01,23327,3.1986731175506815,0.9717061309474171
2009-04-01,23345,3.8259203063747345,1.0566543176540037
2009-04-01,23349,2.2900063107871858,1.0201716724878014
2009-04-01,24991,3.7756303805225913,1.2559180351538712
2009-04-01,25001,2.2900063107871858,1.1691454641355257
2009-04-01,25021,1.9810014688665833,1.1596965749375934
2009-04-01,25027,4.07753744390572,1.1581063281142585
2009-04-01,25229,4.257384189466605,0.9987039428636951
2009-04-01,25233,2.4203681286504293,0.9768212316141874
2009-04-01,25253,2.0794415416798357,0.9122827104766164
2009-04-01,25261,3.758288905486104,0.9381834389087735
2009-04-01,26973,3.0204248861443626,1.259707440848179
2009-04-01,26981,1.3862943611198906,1.0612565021243408
2009-04-01,26983,2.211017899468555,1.248133875454156
2009-04-01,27175,4.110873864173311,1.0061014656942713
2009-04-01,28909,2.833213344056216,1.2237754316221157
2009-04-01,29159,3.7727609380946383,0.9461842621522976
2010-12-01,387,3.7316994512968646,1.213721537815789
2010-12-01,389,3.6794602321974446,1.2444545516942453
2010-12-01,613,4.235916459842499,1.0880199193231572
2010-12-01,623,3.2771447329921766,1.2180989736173107
2010-12-01,2277,4.060443010546419,1.2395229962471417
2010-12-01,2279,3.5040547671018634,1.2021365329449563
2010-12-01,2281,3.784189633918261,1.22310675891248
2010-12-01,2495,3.2676659890376327,1.0894273790910372
